GlobalXbin    GlobalYbin    Z
9    43    0.001554563491959614
9    44    0.0005899676797530758
9    45    0.0005906574302177246
9    46    0.0006020706478362221
9    47    0.000630001990708334
9    48    0.0006553237215881988
9    49    0.0007010436345759004
9    50    0.000757503278302534
9    51    0.0008571241517970348
9    52    0.0009651519173711873
9    53    0.00107324809431157
9    54    0.001193066919463985
9    55    0.001340354542875292
9    56    0.001512764939097425
9    57    0.001674536436823562
9    58    0.001801634297922748
9    59    0.001968503156733304
9    60    0.00223487200535564
9    61    0.001630296841241517
9    62    0.001433325743098893
9    63    0.0004970002275076797
9    64    9.843580504544119e-05
9    65    0.001344366988577993
9    66    0.002180428580247601
9    67    0.00178034454395736
9    68    0.0014106243918482
9    69    6.185876363108561e-05
9    70    0.0009139801965166039
9    71    0.00191416412508188
9    72    0.003062909157862063
9    73    0.004283132779170061
9    74    0.005081179337694561
9    75    0.004298027998212264
9    76    0.002317965097385177
9    77    9.667537058439561e-05
9    78    0.0005295346049550235
9    79    0.002342145469779532
9    80    0.003980709910631805
9    81    0.004979597288949801
9    82    0.004228634617060615
9    83    0.002530314191206604
9    84    0.0005907003306479973
10    0    -0.0003601280691110505
10    1    -0.0001591038112230088
10    2    0.0003029497921461758
10    3    0.0003057672487428282
10    4    0.0001101121859969645
10    5    6.543416870045951e-06
10    6    0.001604322331309216
10    7    0.001417959348804246
10    8    0.002066736649003301
10    9    0.001407629391757163
10    10    0.001570605504039974
10    11    0.0003223230022240906
10    12    0.001219488342146544
10    13    0.001897112990938331
10    14    0.002787459494444572
10    15    0.002305863388311103
10    16    0.001392207595888517
10    17    0.001451767861597931
10    18    0.001869086993490085
10    19    0.001293295278184165
10    20    0.0001210563703410355
10    21    9.811335312103213e-05
10    22    0.0001262968582268817
10    23    0.0001583795425895655
10    24    0.0001857455280554867
10    25    0.0001990927572212236
10    26    0.0002130868957199807
10    27    0.0002373816668487928
10    28    0.0002747932990688831
10    29    0.0001867275450437242
10    30    0.0001799960087196481
10    31    0.0001864012580502662
10    32    0.0002050992643607291
10    33    0.0002240526781158377
10    34    0.0002450547416128313
10    35    0.0002646886766506475
10    36    0.0002988922721831261
10    37    0.0003468235291286657
10    38    0.0004130643507516426
10    39    0.0004854722202534887
10    40    0.0005646425848877162
10    41    0.0006356235032924421
10    42    0.0007213834341861668
10    43    0.0007975600337935858
10    44    0.0002911523324911977
10    45    0.000287294427870688
10    46    0.0002894419703252976
10    47    0.0002991230941678634
10    48    0.0003052682315742567
10    49    0.0003191730059251881
10    50    0.0003370054312317715
10    51    0.0003720221489225436
10    52    0.0004080829037520058
10    53    0.0004438990177783636
10    54    0.0004901167349098464
10    55    0.0005576446337219348
10    56    0.0006439291681449118
10    57    0.000731850469869192
10    58    0.0008128435612450018
10    59    0.000922236691713689
10    60    0.001076632650171356
10    61    0.0006355881644036046
10    62    0.0008178749306175253
10    63    0.0005384934773136321
10    64    3.212160796172301e-05
10    65    0.0006549140845157887
10    66    0.000778769840889358
10    67    0.0005564109514099772
10    68    0.0001917148437125262
10    69    9.071115349027838e-05
10    70    -0.000115542841809516
10    71    0.0004000332588866407
10    72    0.001115142003762906
10    73    0.001582032416734759
10    74    0.002075821746235597
10    75    0.001910909480955169
10    76    0.001319751815450277
10    77    3.516261254521506e-05
10    78    -0.0003300404008901834
10    79    0.000899083177842903
10    80    0.002112099163990155
10    81    0.003033478115877934
10    82    0.002803531591218213
10    83    0.001780646218065212
10    84    0.0003691067763274344
11    0    0.0001422219260226096
11    1    6.511739614632976e-05
11    2    -0.0001251700820252758
11    3    -0.000166318808132549
11    4    -2.932536254802642e-05
11    5    5.691107572744914e-05
11    6    0.0003907415297880082
11    7    0.0008896441137082796
11    8    0.0005111236489251676
11    9    0.0004170455398400321
11    10    0.0003223230022240908
11    11    0.0002677483312039568
11    12    0.0005647305399476203
11    13    0.001023431540145636
11    14    0.0007168972921320277
11    15    0.0003719366505660734
11    16    0.0002766870136813682
11    17    0.000255478433520071
11    18    0.0002756839271276746
11    19    0.0003336270802926397
11    20    0.0002507213956404144
11    21    4.547738869203061e-05
11    22    5.141674081396526e-05
11    23    5.476100992640887e-05
11    24    5.563546834882356e-05
11    25    5.24636135987203e-05
11    26    4.969609662317703e-05
11    27    4.92143920550951e-05
11    28    5.220644299417059e-05
11    29    6.564995097544429e-05
11    30    6.002281325167904e-05
11    31    6.071488268613032e-05
11    32    6.605977130881135e-05
11    33    7.177138052931668e-05
11    34    7.817348246746633e-05
11    35    8.440791632592667e-05
11    36    9.680384530927702e-05
11    37    0.0001155793225001321
11    38    0.0001404455873152195
11    39    0.0001658633816455023
11    40    0.0001933643321894342
11    41    0.0002198073809026394
11    42    0.00025331340440192
11    43    0.0002827578172820706
11    44    0.0001189115767230303
11    45    0.0001140273726366364
11    46    0.0001096947274136318
11    47    0.000108335999583614
11    48    0.0001063434331274765
11    49    0.0001083488695894604
11    50    0.000113401040773537
11    51    0.0001253040661566481
11    52    0.0001371997145255346
11    53    0.0001476052516303882
11    54    0.0001602859887129266
11    55    0.0001796564732374336
11    56    0.0002060720565101272
11    57    0.0002345863089604336
11    58    0.0002616978498312732
11    59    0.0002976057797791383
11    60    0.000347644866255967
11    61    0.0003383396044653548
11    62    0.0002593983391538291
11    63    6.71335613697396e-05
11    64    1.122319877022519e-05
11    65    0.0001814927402931388
11    66    0.0002176193201492445
11    67    0.0001066829488049264
11    68    6.03462506584669e-05
11    69    3.042497612328679e-05
11    70    0.0004085075080692223
11    71    0.000525420661441629
11    72    0.0004294083881123657
11    73    0.000268443757819406
11    74    6.890686930601035e-05
11    75    -1.137127947406623e-05
11    76    2.160094477768694e-05
11    77    0.0001485800074939415
11    78    0.0003071948634898355
